G10101,10567,3475,3304
G10201,1545,622,399
G10301,1578,588,445
G10302,1472,654,312
G10303,1671,690,411
G10304,2283,762,664
G10305,892,338,218
G10306,967,400,300
G10307,1830,807,441
G10308,1121,426,354
G10309,2512,997,823
G10311,1023,363,342
G10312,2341,959,592
G10313,2296,1021,543
G10314,1113,456,271
G10315,2222,777,722
G10316,2023,730,652
G10317,1643,618,541
G10318,1121,490,285
G10319,1477,506,527
G10321,655,276,135
G10322,733,253,220
G10323,812,290,278
G10401,681,343,128
G10402,1101,524,210
G10403,752,341,144
G10404,822,320,209
G10405,3000,1202,601
G10406,741,222,221
G10407,677,307,110
G10408,1654,795,310
G10409,837,363,167
G10411,1243,596,208
G10412,831,360,217
G10413,838,391,145
G10414,2055,826,487
G10415,966,236,427
G10416,761,360,116
G10417,1100,536,194
G10418,300,121,47
G10419,391,162,110
G10421,271,143,42
G10422,210,109,38
G10423,46,16,12
G10424,180,97,29
G10425,332,162,61
G10426,276,131,68
G10427,376,186,91
G10428,326,171,65
G10501,1452,605,300
G10502,791,365,137
G10503,992,495,141
G10504,3500,1571,568
G10505,907,449,170
G10506,924,447,188
G10507,799,348,128
G10508,1842,750,422
G10509,1703,796,349
G10511,604,324,104
G10512,341,140,67
G10601,918,294,321
G10602,2307,984,587
G10603,749,257,270
G10604,985,418,248
G10605,1635,645,480
G10606,5600,1976,1629
G10607,3321,1238,976
G10608,607,213,158
G10609,2316,808,798
G10611,1678,597,510
G10612,1959,717,556
G10613,1034,522,161
G10614,976,331,361
G10615,2261,994,544
G10616,608,265,153
G10617,701,191,292
G10618,998,342,302
G10619,489,189,150
G10701,1970,1024,363
G10702,1547,729,250
G10703,2277,941,649
G10704,459,234,99
G10705,2321,964,515
G10706,953,434,224
G10707,3030,1339,779
G10708,1568,714,397
G10709,2044,835,503
G10711,1496,625,340
G10712,1867,822,379
G10713,5801,1875,1809
G10714,1279,586,316
G10715,839,359,242
G10716,1425,553,236
G10717,3123,1240,726
G10718,1747,658,473
G10719,1159,568,263
G10721,1487,656,281
G10722,1903,861,537
G10723,1093,452,276
G10724,1672,838,416
G10725,585,252,153
G10726,431,199,91
G10727,485,248,90
G10801,2564,990,616
G10802,1167,418,358
G10803,972,355,272
G10804,1169,419,355
G10805,1511,661,348
G10806,492,218,126
G10807,1561,700,419
G10808,936,380,174
G10809,1654,716,383
G10811,1519,720,326
G10812,987,401,284
G10813,1383,614,302
G10814,882,355,289
G10815,1175,385,361
G10816,2463,776,619
G10817,1406,629,312
G10818,725,281,191
G10819,709,266,145
G10821,1067,426,320
G10822,1139,504,313
G10823,1479,660,362
G10824,494,187,110
G10825,516,255,76
G10826,527,253,113
G10827,289,125,81
G10828,686,323,151
G10901,1228,508,313
G10902,1803,846,346
G10903,978,469,222
G10904,1052,652,138
G10905,2834,1108,666
G10906,650,264,151
G10907,1236,606,210
G10908,1208,634,219
G10909,964,469,198
G10911,993,505,172
G10912,1488,703,371
G10913,556,261,105
G10914,1410,660,225
G10915,855,391,179
G10916,1904,890,450
G10917,5635,2068,1334
G10918,4382,2203,814
G10919,2436,1137,414
G10921,1131,550,239
G10922,555,221,172
G10923,1655,770,277
G10924,852,440,211
G10925,697,343,118
G10926,685,338,140
G10927,940,585,119
G10928,1098,567,223
G10929,647,355,101
G10931,247,129,36
G10932,218,81,49
G20302,1011,319,234
G20305,5543,1729,1415
G20306,2161,725,490
G20307,2785,860,697
G20316,1318,435,323
G20321,1128,351,252
G20402,6218,2177,1234
G20403,1996,563,557
G20405,5628,1909,1392
G20409,2298,889,442
G20412,1947,566,579
G20414,2312,756,669
G20415,2655,711,809
G20416,1486,476,436
G20417,1917,639,476
G20418,3144,1036,904
G20419,1229,365,343
G20421,3622,1213,768
G20424,2151,649,535
G20425,2518,1078,507
G20428,869,284,182
G20432,1942,703,442
G20435,1749,626,352
G20441,517,71,213
G20442,2674,949,651
G20501,3851,1430,766
G20502,2281,869,466
G20503,777,363,85
G20504,1071,479,168
G20505,4219,1591,691
G20506,680,287,71
G20508,1054,505,197
G20509,1180,439,291
G20511,1264,505,212
G20512,1579,638,305
G20513,1551,729,260
G20515,2631,977,515
G20518,1714,784,285
G20519,863,298,168
G20523,2966,1071,707
G20527,9932,3200,2250
G20531,1767,760,231
G20534,2921,1122,666
G20601,1325,474,215
G20602,1484,577,281
G20603,1089,325,276
G20604,1368,460,292
G20605,1110,513,193
G20607,975,423,148
G20608,2149,745,500
G20609,1408,535,302
G20611,1636,558,434
G20613,979,361,243
G20616,1409,530,303
G20618,646,198,181
G20619,1680,629,299
G20622,658,278,111
G20624,810,273,174
G20625,968,364,218
G20627,1854,741,314
G20631,1375,562,186
G20632,1474,630,304
G20633,1018,381,174
G20634,5113,1732,1060
G20635,11966,4056,2716
G20636,1334,640,144
G20637,1681,605,345
G20638,984,388,207
G20639,618,210,199
G20642,1480,645,164
G20643,2150,746,468
G20644,1814,653,468
G20701,1202,429,281
G20702,5262,2029,1149
G20703,1159,487,185
G20705,1902,580,464
G20707,512,193,120
G20708,931,348,160
G20711,6873,2407,1723
G20712,1069,480,244
G20713,653,214,148
G20719,1833,743,416
G20721,1466,525,292
G20722,3452,1031,891
G20723,1332,586,268
G20724,3531,1109,843
G20725,6974,2379,1586
G20726,2477,914,674
G20727,4327,1650,983
G20801,3050,976,774
G20802,645,251,119
G20803,4704,1583,1066
G20804,1852,496,595
G20805,1683,568,439
G20806,1438,611,326
G20807,1309,453,361
G20808,2831,1117,487
G20812,1249,442,270
G20813,3429,1171,859
G20815,1697,557,412
G20817,8730,2957,2098
G20901,3598,1547,616
G20905,2131,855,350
G20909,2495,1006,401
G20911,813,375,100
G20912,1506,589,269
G20913,8312,3530,1211
G20914,1654,724,233
G20918,2763,1128,491
G20923,20273,8059,4189
G21001,824,342,122
G21002,11521,4288,2211
G21003,1567,535,341
G21004,825,343,148
G21005,1878,773,282
G21006,567,243,140
G21007,1503,560,276
G21008,1188,493,156
G21009,2957,1008,641
G30502,17655,6054,5370
G30503,2729,1104,811
G30504,2894,1091,782
G30506,2648,1008,889
G30507,1818,663,616
G30508,2280,757,745
G30509,1774,597,560
G30511,2068,876,613
G30512,1411,566,416
G30514,4432,1344,1445
G30515,2918,992,1030
G30516,1370,476,445
G30517,1948,723,590
G30521,1712,797,364
G30522,1480,573,413
G30524,710,270,215
G30526,449,164,119
G30527,2183,826,573
G30529,2078,710,628
G30531,7462,2292,2583
G30532,2607,940,860
G30533,3172,1060,996
G30534,1633,524,519
G30536,1059,440,293
G30538,1742,573,503
G30539,1801,686,472
G30541,1275,471,370
G30542,1576,590,401
G30543,2904,1088,859
G30544,1477,608,388
G30601,1977,765,517
G30602,1561,599,428
G30603,8612,2497,3078
G30604,18855,4963,6835
G30605,6488,2283,1840
G30607,7867,2975,2244
G30608,3269,1178,1019
G30609,663,290,169
G30612,1324,558,355
G30613,1105,377,361
G30614,1257,501,414
G30615,1648,665,481
G30616,1266,467,305
G30618,5658,1962,1784
G30621,1735,718,404
G30623,3187,1047,1038
G30625,2590,746,1091
G30626,5119,1961,1416
G30627,2162,702,689
G30629,1269,540,319
G30631,1575,578,442
G30633,1146,496,306
G30635,795,305,258
G30636,1069,419,333
G30637,1391,530,491
G30639,13088,4871,4200
G30641,2578,950,840
G30645,1308,522,372
G30646,1377,629,327
G30701,775,403,140
G30702,1170,515,254
G30703,513,198,162
G30704,5882,2114,1769
G30706,2525,977,779
G30708,1111,504,256
G30709,1537,543,524
G30711,1449,544,472
G30712,989,463,241
G30713,1171,567,289
G30715,458,188,139
G30716,2980,1046,962
G30718,982,359,288
G30719,1155,535,250
G30721,1238,481,318
G30722,902,357,298
G30724,1585,667,421
G30726,2269,813,634
G30728,569,244,154
G30801,148,57,44
G30802,105,19,48
G30803,2554,1013,728
G30804,1473,443,528
G30805,1349,476,391
G30808,6238,2237,1905
G30811,1806,792,432
G30812,673,291,166
G30813,962,459,195
G30814,1540,723,308
G30817,7958,2862,2423
G30819,206,80,49
G30821,7961,2874,2333
G30822,60,33,8
G30824,994,378,274
G30825,914,353,242
G30826,1021,431,234
G30827,2151,880,521
G30828,754,292,221
G30829,905,340,248
G30831,2037,858,581
G30834,281,113,84
G30835,2116,857,497
G30836,679,291,163
G30838,2115,881,631
G30841,1032,451,218
G30842,1296,484,279
G30844,1612,635,373
G30845,1033,480,212
G30846,128,48,35
G30848,1089,417,305
G30849,422,188,124
G30852,1512,609,416
G30854,777,392,155
G30856,6936,2549,1911
G30857,1002,431,218
G30858,1355,623,275
G30859,629,301,167
G30863,4463,1805,998
G30865,747,325,160
G30902,929,344,240
G30903,1359,512,377
G30904,574,259,136
G30906,577,220,142
G30908,4390,1367,1291
G30909,1891,756,461
G30912,1016,415,242
G30913,583,205,169
G30915,392,178,85
G30916,3430,1177,844
G30917,490,171,168
G30921,1114,492,265
G30925,1980,719,438
G30929,547,260,109
G30932,949,386,194
G30935,4532,1506,1221
G30939,827,341,210
G30942,2304,772,635
G31001,628,266,131
G31008,2311,908,631
G31009,1192,483,343
G31014,926,392,236
G31015,1425,580,334
G31016,1113,509,270
G31018,1322,546,302
G31019,1034,381,290
G31021,1065,463,246
G31022,9103,3241,2608
G31025,467,209,98
G31026,1639,603,452
G31028,1035,421,248
G31033,836,382,188
G31035,1280,413,368
G31036,1334,539,307
G31037,3623,1157,949
G31038,832,337,254
G31041,704,236,244
G31042,784,340,172
G31043,1788,668,510
G31051,1974,819,431
G31052,2081,791,636
G31053,2788,1056,778
G31101,650,259,159
G31102,692,301,169
G31103,1139,465,255
G31104,1022,466,211
G31105,2866,933,869
G31106,2949,1082,868
G31107,1122,473,258
G31109,5269,1775,1399
G31111,597,291,105
G31113,587,220,179
G31114,777,284,200
G31117,626,305,163
G31119,440,186,98
G31121,651,274,160
G31123,1045,443,255
G31124,1403,508,395
G31129,1343,581,285
G31201,3612,906,1473
G31202,1369,511,432
G31203,2582,995,635
G31204,1294,492,337
G31205,1699,643,501
G31206,1600,588,495
G31207,3185,1114,1037
G31208,2915,1245,805
G31213,9359,2734,3316
G31214,6394,1782,2443
G31215,983,397,279
G31216,3842,1151,1381
G31224,1120,477,261
G31226,3069,1165,868
G31227,1686,550,600
G31228,843,367,218
G31229,1059,363,344
G31234,1216,471,339
G31301,569,190,163
G31302,872,350,231
G31303,1038,422,268
G31304,726,229,246
G31308,2448,937,796
G31309,2346,719,842
G31311,3111,1331,755
G31315,1614,620,509
G31319,946,392,241
G31321,643,303,129
